DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg,MW_A,MW_B,LD50_A_neglog,LD50_B_neglog,Mixture_neglog
Aniline,Ucon 50HB260,Nc1ccccc1,CC(C)OCC(C)OCC(C)O,725.6199999999999,5596.500000000001,1458.688,93.12899999999999,176.256,2.1083756950975885,1.4982274018082817,1.965381003627224
Aniline,Ucon LB250,Nc1ccccc1,CC(C)OCC(C)OCC(C)O,725.6199999999999,10605.0,2217.0400000000004,93.12899999999999,176.256,2.1083756950975885,1.2206332370522115,1.7835698850841264
Butyl Cellosolve,Butyl ether,CCCCOCCO,CCCCOCCCC,2146.76,10390.4,2427.362,118.17599999999999,130.231,1.740745791372431,1.0980821084263572,1.7089992853997185
Butyl Cellosolve,Carbon tetrachloride,CCCCOCCO,ClC(Cl)(Cl)Cl,2146.76,4909.52,1970.592,118.17599999999999,153.823,1.740745791372431,1.4959822435581474,1.8389405963416936
Butyl Cellosolve,Diethanolamine,CCCCOCCO,OCCNCCO,2146.76,877.6,1870.0645,118.17599999999999,105.137,1.740745791372431,2.07845896604771,1.7760274243190868
Butyl Cellosolve,Dioxane,CCCCOCCO,C1COCCO1,2146.76,6683.509999999999,4261.837500000001,118.17599999999999,88.106,1.740745791372431,1.1200008825933447,1.3838344513392287
Butyl Cellosolve,Ethyl acetate,CCCCOCCO,CCOC(=O)C,2146.76,9831.8,3203.904,118.17599999999999,88.106,1.740745791372431,0.9523724492991003,1.5077518431297394
Butyl Cellosolve,Ethyl acrylate,CCCCOCCO,CCOC(=O)C=C,2146.76,761.1099999999999,1257.8385,118.17599999999999,100.11699999999999,1.740745791372431,2.1190603994765276,1.9383849302417246
Butyl Cellosolve,Ethyl alcohol,CCCCOCCO,CCO,2146.76,15543.3,2967.705,118.17599999999999,46.069,1.740745791372431,0.4718655559401559,1.442041433434849
Butyl Cellosolve,Ethylene glycol,CCCCOCCO,OCCO,2146.76,7189.9800000000005,3129.295,118.17599999999999,62.068000000000005,1.740745791372431,0.9361400691300721,1.4593843148767967
