SMILES_A,SMILES_B,Mixture_neglog
CCOC(=O)C=C,CC1=CC(=O)CC(C)(C)C1,1.9512870377548404
CCOC(=O)C=C,[O-][N+](=O)c1ccccc1,2.257564450112992
CCOC(=O)C=C,c1ccccc1OCCO,1.8420190544082202
CCOC(=O)C=C,OCCOCCOCCOCCOCCOCCOCCOCCO,2.247640706517757
CCOC(=O)C=C,CC(O)CO,1.7963679767743823
CCOC(=O)C=C,CC1CO1,1.9836135492290987
CCOC(=O)C=C,CCCCCCCCCCCCCOCCOCCOCCO,2.192136687571713
CCOC(=O)C=C,ClC(Cl)=C(Cl)Cl,1.8681565313153083
CCOC(=O)C=C,Cc1ccccc1,1.759488298065694
CCOC(=O)C=C,CC(C)OCC(C)OCC(C)O,2.0659839827673467
CCOC(=O)C=C,CC(C)OCC(C)OCC(C)O,1.6861927260816771
CCO,OCCO,0.1468800599964212
CCO,C=O,1.328675740319731
CCO,CC1=CC(=O)CC(C)(C)C1,1.5311869136058576
CCO,C1COCCN1,1.4658480800681122
CCO,[O-][N+](=O)c1ccccc1,1.927766578805835
CCO,c1ccccc1OCCO,1.1831117922953445
CCO,OCCOCCOCCOCCOCCOCCOCCOCCO,0.7346047953806782
CCO,CC(O)CO,0.3767268408919583
CCO,CC1CO1,1.2203432359018478
CCO,CCCCCCCCCCCCCOCCOCCOCCO,1.4163118384161415
CCO,ClC(Cl)=C(Cl)Cl,1.0696900720883165
CCO,Cc1ccccc1,1.0663235573464867
CCO,CC(C)OCC(C)OCC(C)O,1.140895139115221
CCO,CC(C)OCC(C)OCC(C)O,0.74920119912428
OCCO,C=O,1.1709677310049666
OCCO,CC1=CC(=O)CC(C)(C)C1,1.3516789255541857
OCCO,C1COCCN1,1.1061734419976652
OCCO,[O-][N+](=O)c1ccccc1,1.9655848072743878
OCCO,c1ccccc1OCCO,1.0499907289834667
OCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,1.1529714365927908
OCCO,CC(O)CO,0.3894729642606084
OCCO,CC1CO1,1.399382120464568
OCCO,CCCCCCCCCCCCCOCCOCCOCCO,1.341846792460259
OCCO,ClC(Cl)=C(Cl)Cl,0.9416523362197219
OCCO,Cc1ccccc1,1.0378679870210281
OCCO,CC(C)OCC(C)OCC(C)O,1.114484297527999
OCCO,CC(C)OCC(C)OCC(C)O,0.9379657094189447
C=O,CC1=CC(=O)CC(C)(C)C1,1.5413213882690011
C=O,C1COCCN1,1.4783245443328235
C=O,[O-][N+](=O)c1ccccc1,2.008530502831214
C=O,c1ccccc1OCCO,1.5523243746718363
C=O,OCCOCCOCCOCCOCCOCCOCCOCCO,1.5530537253848935
C=O,CC(O)CO,1.2876295310201156
C=O,CC1CO1,1.434562626215952
C=O,CCCCCCCCCCCCCOCCOCCOCCO,2.0602045918545397
C=O,ClC(Cl)=C(Cl)Cl,1.5205981895552836
C=O,Cc1ccccc1,1.6248080250547805
C=O,CC(C)OCC(C)OCC(C)O,1.4694998074327488
C=O,CC(C)OCC(C)OCC(C)O,1.6225085888237558
CC1=CC(=O)CC(C)(C)C1,C1COCCN1,1.8542793776800948
CC1=CC(=O)CC(C)(C)C1,[O-][N+](=O)c1ccccc1,1.968869087687694
CC1=CC(=O)CC(C)(C)C1,c1ccccc1OCCO,1.368067935479119
CC1=CC(=O)CC(C)(C)C1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.713754504949013
CC1=CC(=O)CC(C)(C)C1,CC(O)CO,1.5808134322210095
CC1=CC(=O)CC(C)(C)C1,CC1CO1,1.6111095288642778
CC1=CC(=O)CC(C)(C)C1,CCCCCCCCCCCCCOCCOCCOCCO,1.6763969213355863
CC1=CC(=O)CC(C)(C)C1,ClC(Cl)=C(Cl)Cl,1.6574580646929427
CC1=CC(=O)CC(C)(C)C1,Cc1ccccc1,1.4650000131941452
CC1=CC(=O)CC(C)(C)C1,CC(C)OCC(C)OCC(C)O,1.3970817037697894
CC1=CC(=O)CC(C)(C)C1,CC(C)OCC(C)OCC(C)O,1.3308736756903559
C1COCCN1,[O-][N+](=O)c1ccccc1,2.0301936186075067
C1COCCN1,c1ccccc1OCCO,1.4406139828518925
C1COCCN1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.6370605106515161
C1COCCN1,CC(O)CO,1.3760285119684141
C1COCCN1,CC1CO1,1.5216595452334285
C1COCCN1,CCCCCCCCCCCCCOCCOCCOCCO,1.9781457667590117
C1COCCN1,ClC(Cl)=C(Cl)Cl,1.9526546770598487
C1COCCN1,Cc1ccccc1,2.258910458383311
C1COCCN1,CC(C)OCC(C)OCC(C)O,1.783886836919712
C1COCCN1,CC(C)OCC(C)OCC(C)O,1.72209652136596
[O-][N+](=O)c1ccccc1,c1ccccc1OCCO,2.1658828596479607
[O-][N+](=O)c1ccccc1,OCCOCCOCCOCCOCCOCCOCCOCCO,2.189180661586557
[O-][N+](=O)c1ccccc1,CC(O)CO,1.9548285959846372
[O-][N+](=O)c1ccccc1,CC1CO1,2.1109068768042065
[O-][N+](=O)c1ccccc1,CCCCCCCCCCCCCOCCOCCOCCO,2.305136311413667
[O-][N+](=O)c1ccccc1,ClC(Cl)=C(Cl)Cl,1.9504702094745172
[O-][N+](=O)c1ccccc1,Cc1ccccc1,1.9368298312689667
[O-][N+](=O)c1ccccc1,CC(C)OCC(C)OCC(C)O,2.159012768778004
[O-][N+](=O)c1ccccc1,CC(C)OCC(C)OCC(C)O,2.2456926743027097
c1ccccc1OCCO,OCCOCCOCCOCCOCCOCCOCCOCCO,1.4141857140313303
c1ccccc1OCCO,CC(O)CO,1.1545983145199474
c1ccccc1OCCO,CC1CO1,1.5860185316689115
c1ccccc1OCCO,CCCCCCCCCCCCCOCCOCCOCCO,1.4354965202676602
c1ccccc1OCCO,ClC(Cl)=C(Cl)Cl,1.5867686376114583
c1ccccc1OCCO,Cc1ccccc1,1.5274817055612275
c1ccccc1OCCO,CC(C)OCC(C)OCC(C)O,1.431072197911464
c1ccccc1OCCO,CC(C)OCC(C)OCC(C)O,1.3889874098467594
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(O)CO,0.6859938064891101
OCCOCCOCCOCCOCCOCCOCCOCCO,CC1CO1,2.0224422633502077
OCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCCOCCOCCOCCO,1.2427766106519411
OCCOCCOCCOCCOCCOCCOCCOCCO,ClC(Cl)=C(Cl)Cl,1.5963262891220944
OCCOCCOCCOCCOCCOCCOCCOCCO,Cc1ccccc1,1.4106637890199876
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,1.575366101639432
OCCOCCOCCOCCOCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,1.165018118301297
CC(O)CO,CC1CO1,1.2725705898177566
CC(O)CO,CCCCCCCCCCCCCOCCOCCOCCO,1.207394288275678
CC(O)CO,ClC(Cl)=C(Cl)Cl,1.0550127402264329
CC(O)CO,Cc1ccccc1,0.748070512136774
CC(O)CO,CC(C)OCC(C)OCC(C)O,0.9615906959999982
CC(O)CO,CC(C)OCC(C)OCC(C)O,0.8255643679537127
CC1CO1,CCCCCCCCCCCCCOCCOCCOCCO,1.7990571188943916
CC1CO1,ClC(Cl)=C(Cl)Cl,1.6486007352929812
CC1CO1,Cc1ccccc1,1.6715801275032274
CC1CO1,CC(C)OCC(C)OCC(C)O,1.7867021553786908
CC1CO1,CC(C)OCC(C)OCC(C)O,1.6361737482672378
CCCCCCCCCCCCCOCCOCCOCCO,ClC(Cl)=C(Cl)Cl,1.2736677336513225
CCCCCCCCCCCCCOCCOCCOCCO,Cc1ccccc1,1.3835997302047771
CCCCCCCCCCCCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,1.6918751223660147
CCCCCCCCCCCCCOCCOCCOCCO,CC(C)OCC(C)OCC(C)O,1.6080235244131549
ClC(Cl)=C(Cl)Cl,Cc1ccccc1,1.3560168173627596
ClC(Cl)=C(Cl)Cl,CC(C)OCC(C)OCC(C)O,1.425158848865089
ClC(Cl)=C(Cl)Cl,CC(C)OCC(C)OCC(C)O,1.2247224716844693
Cc1ccccc1,CC(C)OCC(C)OCC(C)O,1.1507397457891178
Cc1ccccc1,CC(C)OCC(C)OCC(C)O,1.174694139306946
CC(C)OCC(C)OCC(C)O,CC(C)OCC(C)OCC(C)O,1.406530755742775
